Kód,Territory unit,Total,with no religious belief (abs.),with no religious belief (%),Roman Catholic Church in the Slovak Republic (Roman Catholic) (abs.),Roman Catholic Church in the Slovak Republic (Roman Catholic) (%),Evangelical Church of the Augsburg Confession in Slovakia (abs.),Evangelical Church of the Augsburg Confession in Slovakia (%),Greek Catholic Church in Slovakia (Greek Catholic) (abs.),Greek Catholic Church in Slovakia (Greek Catholic) (%),Reformed Christian Church in Slovakia (Calvinist) (abs.),Reformed Christian Church in Slovakia (Calvinist) (%),Orthodox Church in Slovakia (Orthodox) (abs.),Orthodox Church in Slovakia (Orthodox) (%),Religious Society of Jehova’s Witnesses in the Slovak Republic (abs.),Religious Society of Jehova’s Witnesses in the Slovak Republic (%),Evangelical Methodist Church, Slovak area (abs.),Evangelical Methodist Church, Slovak area (%),Christian Congregations in Slovakia (abs.),Christian Congregations in Slovakia (%),Apostolic Church in Slovakia (abs.),Apostolic Church in Slovakia (%),Unity of Brethren Baptists in the Slovak Republic (Baptist) (abs.),Unity of Brethren Baptists in the Slovak Republic (Baptist) (%),Church of the Brethren in the Slovak Republic (abs.),Church of the Brethren in the Slovak Republic (%),Seventh-day Adventist Church, Slovak Association (abs.),Seventh-day Adventist Church, Slovak Association (%),Jewish community in Slovakia (Jewish) (abs.),Jewish community in Slovakia (Jewish) (%),Czechoslovak Hussite Church in Slovakia (abs.),Czechoslovak Hussite Church in Slovakia (%),Old Catholic Church in Slovakia (Old Catholic) (abs.),Old Catholic Church in Slovakia (Old Catholic) (%),Bahá'i Community in the Slovak Republic (abs.),Bahá'i Community in the Slovak Republic (%),Church of Jesus Christ of Latter-day Saints in the Slovak Republic (abs.),Church of Jesus Christ of Latter-day Saints in the Slovak Republic (%),New Apostolic Church in the Slovak Republic (abs.),New Apostolic Church in the Slovak Republic (%),Buddhism (abs.),Buddhism (%),Islam (abs.),Islam (%),Hinduism (abs.),Hinduism (%),other and not ascertained christian church (abs.),other and not ascertained christian church (%),paganism and natural spirituality (abs.),paganism and natural spirituality (%),ad hoc movements (abs.),ad hoc movements (%),other (abs.),other (%),not found out (abs.),not found out (%)
SK0318,District of Ružomberok,57392,9644,16.8,41659,72.59,1994,3.47,368,0.64,32,0.06,93,0.16,70,0.12,25,0.04,128,0.22,11,0.02,73,0.13,4,0.01,21,0.04,15,0.03,5,0.01,21,0.04,0,0,2,0,1,0,52,0.09,28,0.05,7,0.01,93,0.16,37,0.06,221,0.39,166,0.29,2622,4.57
SK0319,District of Turčianske Teplice,15956,4629,29.01,6082,38.12,4018,25.18,119,0.75,12,0.08,16,0.1,10,0.06,43,0.27,32,0.2,47,0.29,1,0.01,6,0.04,4,0.03,2,0.01,2,0.01,5,0.03,0,0,2,0.01,0,0,14,0.09,14,0.09,5,0.03,19,0.12,14,0.09,45,0.28,45,0.28,770,4.83
SK031A,District of Tvrdošín,35856,2879,8.03,31309,87.32,238,0.66,114,0.32,19,0.05,27,0.08,49,0.14,5,0.01,69,0.19,3,0.01,1,0,1,0,3,0.01,1,0,0,0,2,0.01,1,0,5,0.01,0,0,14,0.04,15,0.04,1,0,42,0.12,16,0.04,94,0.26,47,0.13,901,2.51
SK031B,District of Žilina,161377,34189,21.19,111792,69.27,3082,1.91,909,0.56,212,0.13,254,0.16,200,0.12,39,0.02,664,0.41,38,0.02,38,0.02,141,0.09,40,0.02,35,0.02,20,0.01,60,0.04,6,0,30,0.02,0,0,244,0.15,87,0.05,25,0.02,393,0.24,139,0.09,530,0.33,503,0.31,7707,4.78
SK0321,District of Banská Bystrica,108730,41649,38.3,42443,39.04,13737,12.63,1286,1.18,90,0.08,293,0.27,206,0.19,85,0.08,249,0.23,97,0.09,210,0.19,148,0.14,260,0.24,47,0.04,15,0.01,22,0.02,21,0.02,5,0,3,0,184,0.17,72,0.07,27,0.02,435,0.4,114,0.1,463,0.43,430,0.4,6139,5.65
SK0322,District of Banská Štiavnica,15649,4700,30.03,8655,55.31,1160,7.41,87,0.56,15,0.1,12,0.08,32,0.2,3,0.02,51,0.33,6,0.04,26,0.17,4,0.03,23,0.15,4,0.03,1,0.01,4,0.03,3,0.02,0,0,2,0.01,28,0.18,10,0.06,5,0.03,75,0.48,10,0.06,44,0.28,38,0.24,651,4.16
SK0323,District of Brezno,59446,14055,23.64,35626,59.93,2001,3.37,2292,3.86,46,0.08,124,0.21,142,0.24,24,0.04,291,0.49,23,0.04,28,0.05,9,0.02,21,0.04,3,0.01,5,0.01,18,0.03,7,0.01,4,0.01,0,0,28,0.05,26,0.04,6,0.01,141,0.24,63,0.11,161,0.27,147,0.25,4155,6.99
SK0324,District of Detva,31034,5511,17.76,21764,70.13,1163,3.75,185,0.6,29,0.09,46,0.15,44,0.14,7,0.02,56,0.18,4,0.01,25,0.08,3,0.01,4,0.01,2,0.01,8,0.03,12,0.04,1,0,1,0,0,0,20,0.06,16,0.05,6,0.02,60,0.19,18,0.06,65,0.21,72,0.23,1912,6.16
SK0325,District of Krupina,21517,2992,13.91,14248,66.22,2997,13.93,100,0.46,30,0.14,48,0.22,29,0.13,4,0.02,24,0.11,5,0.02,0,0,0,0,18,0.08,1,0,1,0,8,0.04,1,0,1,0,1,0,31,0.14,13,0.06,3,0.01,38,0.18,31,0.14,68,0.32,36,0.17,789,3.67
SK0326,District of Lučenec,70422,17111,24.3,38640,54.87,6488,9.21,419,0.59,355,0.5,72,0.1,306,0.43,45,0.06,400,0.57,31,0.04,267,0.38,2,0,87,0.12,16,0.02,3,0,24,0.03,3,0,5,0.01,0,0,60,0.09,84,0.12,11,0.02,111,0.16,59,0.08,150,0.21,146,0.21,5527,7.85
