year,district_id,district_name,category,statistic,percentage
2021,SK0328,District of Revúca,Age Groups,post-productive age (aged 65+) (%),15.65
2021,SK0329,District of Rimavská Sobota,Age Groups,post-productive age (aged 65+) (%),15.21
2021,SK032A,District of Veľký Krtíš,Age Groups,post-productive age (aged 65+) (%),17.57
2021,SK032B,District of Zvolen,Age Groups,post-productive age (aged 65+) (%),18.81
2021,SK032C,District of Žarnovica,Age Groups,post-productive age (aged 65+) (%),19.16
2021,SK032D,District of Žiar nad Hronom,Age Groups,post-productive age (aged 65+) (%),19.57
2021,SK0411,District of Bardejov,Age Groups,post-productive age (aged 65+) (%),15.45
2021,SK0412,District of Humenné,Age Groups,post-productive age (aged 65+) (%),17.63
2021,SK0413,District of Kežmarok,Age Groups,post-productive age (aged 65+) (%),10.81
2021,SK0414,District of Levoča,Age Groups,post-productive age (aged 65+) (%),13.92
2021,SK0415,District of Medzilaborce,Age Groups,post-productive age (aged 65+) (%),19.52
2021,SK0416,District of Poprad,Age Groups,post-productive age (aged 65+) (%),16.64
2021,SK0417,District of Prešov,Age Groups,post-productive age (aged 65+) (%),15.3
2021,SK0418,District of Sabinov,Age Groups,post-productive age (aged 65+) (%),12.21
2021,SK0419,District of Snina,Age Groups,post-productive age (aged 65+) (%),16.61
2021,SK041A,District of Stará Ľubovňa,Age Groups,post-productive age (aged 65+) (%),12.8
2021,SK041B,District of Stropkov,Age Groups,post-productive age (aged 65+) (%),15.99
2021,SK041C,District of Svidník,Age Groups,post-productive age (aged 65+) (%),15.86
2021,SK041D,District of Vranov nad Topľou,Age Groups,post-productive age (aged 65+) (%),13.88
2021,SK0421,District of Gelnica,Age Groups,post-productive age (aged 65+) (%),14.85
2021,SK0422,District of Košice I,Age Groups,post-productive age (aged 65+) (%),17.74
2021,SK0423,District of Košice II,Age Groups,post-productive age (aged 65+) (%),16.27
2021,SK0424,District of Košice III,Age Groups,post-productive age (aged 65+) (%),19.83
2021,SK0425,District of Košice IV,Age Groups,post-productive age (aged 65+) (%),22.76
2021,SK0426,District of Košice - okolie,Age Groups,post-productive age (aged 65+) (%),13.25
2021,SK0427,District of Michalovce,Age Groups,post-productive age (aged 65+) (%),15.42
2021,SK0428,District of Rožňava,Age Groups,post-productive age (aged 65+) (%),16.39
2021,SK0429,District of Sobrance,Age Groups,post-productive age (aged 65+) (%),16.6
2021,SK042A,District of Spišská Nová Ves,Age Groups,post-productive age (aged 65+) (%),13.96
2021,SK042B,District of Trebišov,Age Groups,post-productive age (aged 65+) (%),14.98
2021,SK0101,District of Bratislava I,Economic Activity,working (except pensioners) (%),41.91
2021,SK0102,District of Bratislava II,Economic Activity,working (except pensioners) (%),43.29
2021,SK0103,District of Bratislava III,Economic Activity,working (except pensioners) (%),43.33
2021,SK0104,District of Bratislava IV,Economic Activity,working (except pensioners) (%),44.78
2021,SK0105,District of Bratislava V,Economic Activity,working (except pensioners) (%),42.82
2021,SK0106,District of Malacky,Economic Activity,working (except pensioners) (%),43.3
2021,SK0107,District of Pezinok,Economic Activity,working (except pensioners) (%),43.36
2021,SK0108,District of Senec,Economic Activity,working (except pensioners) (%),43.51
2021,SK0211,District of Dunajská Streda,Economic Activity,working (except pensioners) (%),42.93
