election_year,election_type,district_id,district_name,original_party_name,party_name,votes
2020,NR SR,106,Malacky,ZA ĽUDÍ,ZA ĽUDÍ,2736
2020,NR SR,106,Malacky,MÁME TOHO DOSŤ !,MÁME TOHO DOSŤ !,103
2020,NR SR,106,Malacky,Slovenská národná strana,SNS,857
2020,NR SR,106,Malacky,Demokratická strana,Demokratická strana,66
2020,NR SR,106,Malacky,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",OĽaNO / SLOVENSKO,13410
2020,NR SR,106,Malacky,Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,Progresívne Slovensko,3549
2020,NR SR,106,Malacky,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,19
2020,NR SR,106,Malacky,99 % - občiansky hlas,99 % - občiansky hlas,10
2020,NR SR,106,Malacky,Kresťanskodemokratické hnutie,KDH,1329
2020,NR SR,106,Malacky,Slovenská liga,Slovenská liga,9
2020,NR SR,106,Malacky,VLASŤ,Vlasť,1009
2020,NR SR,106,Malacky,MOST - HÍD,Most-Híd,140
2020,NR SR,106,Malacky,SMER - sociálna demokracia,SMER-SD,6451
2020,NR SR,106,Malacky,SOLIDARITA - Hnutie pracujúcej chudoby,SOLIDARITA - Hnutie pracujúcej chudoby,32
2020,NR SR,106,Malacky,HLAS ĽUDU,HLAS ĽUDU,26
2020,NR SR,106,Malacky,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,SMK / Aliancia,24
2020,NR SR,106,Malacky,Práca slovenského národa,Práca slovenského národa,12
2020,NR SR,106,Malacky,Kotlebovci - Ľudová strana Naše Slovensko,ĽSNS - Kotlebovci,3101
2020,NR SR,106,Malacky,Socialisti.sk,Socialisti.sk,220
2020,NR SR,107,Pezinok,Slovenská ľudová strana Andreja Hlinku,SĽS - Andreja Hlinku,54
